id,name
Q64661,Georg Friedrich Daumer,German philosopher and poet (1800-1875),+1800-03-05T00:00:00Z,+1875-12-13T00:00:00Z
Q95566240,Aleš Dobrovolný,,+1960-00-00T00:00:00Z,
Q83426081,Fermín Sagristá,,+1900-00-00T00:00:00Z,+2000-00-00T00:00:00Z
Q928551,Origen the Pagan,3rd century Alexandrian Platonist philosopher,+0200-00-00T00:00:00Z,+0300-01-01T00:00:00Z
Q98338,Heiner Bielefeldt,German philosopher,+1958-04-12T00:00:00Z,
Q31092827,Dluhopolszky László,,+1951-04-20T00:00:00Z,
Q119981532,José Luis,,+1956-05-14T00:00:00Z,
Q2107880,Andrea Mutti,Italian caricaturist,+1973-03-05T00:00:00Z,
Q21339651,Jorge E. Llorente-Bousquets,exican entomologist,,
Q89685342,Mokhallad Habib,Iraqi pharmacist and caricaturist,,
Q18808525,Behzad Ghafarizadeh,Iranian cartoonist and illustrator,+1983-00-00T00:00:00Z,
Q16120747,Muḥammad Adnan Salim,Syrian writer and publisher,+1932-01-01T00:00:00Z,+2022-05-20T00:00:00Z
Q96263,Anselm Haverkamp,German philosopher,+1943-07-18T00:00:00Z,
Q121913074,Alexei Grabco,,+1936-08-18T00:00:00Z,+2016-07-05T00:00:00Z
Q7813263,Tohby Riddle,cartoonist,,
Q106846693,Nadir Aparecida Cancian,,,+1982-00-00T00:00:00Z
Q193257,Jean-François Lyotard,French philosopher,+1924-08-10T00:00:00Z,+1998-04-21T00:00:00Z
Q21515772,Willem Cornelis van Heurn,botanist (1887–1972),+1887-01-01T00:00:00Z,+1972-01-01T00:00:00Z
