Q60025,Hannah Arendt,German-American political theorist and philosopher (1906–1975),+1906-10-14T00:00:00Z,+1975-12-04T00:00:00Z,https://en.wikipedia.org/wiki/Hannah_Arendt
Q57497,Carl Stumpf,German philosopher,+1848-04-21T00:00:00Z,+1936-12-25T00:00:00Z,https://en.wikipedia.org/wiki/Carl_Stumpf
Q77888,Wilhelm von Humboldt,"Prussian philosopher, government official, diplomat, and educator (1767–1835)",+1767-06-22T00:00:00Z,+1835-04-08T00:00:00Z,https://en.wikipedia.org/wiki/Wilhelm_von_Humboldt
Q47478,Swami Vivekananda,Indian Hindu monk and philosopher (1863-1902),+1863-01-12T00:00:00Z,+1902-07-04T00:00:00Z,https://en.wikipedia.org/wiki/Swami_Vivekananda
Q185770,Posidonius,Greek Stoic philosopher (c.135 – c.51 BC),-0135-01-01T00:00:00Z,-0051-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Posidonius
Q467015,Henry Corbin,French philosopher and orientalist,+1903-04-14T00:00:00Z,+1978-10-07T00:00:00Z,https://en.wikipedia.org/wiki/Henry_Corbin
Q125551,Parmenides,late 6th/early 5th century BC Greek pre-Socratic philosopher,-0515-00-00T00:00:00Z,-0470-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Parmenides
Q11035375,Quintus Aelius Tubero,Roman philosopher and politician,-0163-00-00T00:00:00Z,,https://en.wikipedia.org/wiki/Quintus_Aelius_Tubero_(Stoic)
Q123190,Jean Piaget,"Swiss psychologist, biologist, logician, philosopher and academic (1896-1980)",+1896-08-09T00:00:00Z,+1980-09-16T00:00:00Z,https://en.wikipedia.org/wiki/Jean_Piaget
Q221697,Hilary Putnam,American philosopher,+1926-07-31T00:00:00Z,+2016-03-13T00:00:00Z,https://en.wikipedia.org/wiki/Hilary_Putnam
Q3158533,Jacques Chevalier,French philosopher (1882-1962),+1882-03-13T00:00:00Z,+1962-04-19T00:00:00Z,https://en.wikipedia.org/wiki/Jacques_Chevalier
Q328150,John of Ravenna,Italian writer,+1343-00-00T00:00:00Z,+1408-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Giovanni_Conversini
Q310791,Jules Michelet,French historian; popularized the historical concept of the Renaissance,+1798-08-21T00:00:00Z,+1874-02-09T00:00:00Z,https://en.wikipedia.org/wiki/Jules_Michelet
Q229264,"Georges-Louis Leclerc, Comte de Buffon",French natural historian (1707-1788),+1707-09-07T00:00:00Z,+1788-04-16T00:00:00Z,"https://en.wikipedia.org/wiki/Georges-Louis_Leclerc,_Comte_de_Buffon"
Q6694,Alexander von Humboldt,"Prussian geographer, naturalist and explorer (1769–1859)",+1769-09-14T00:00:00Z,+1859-05-06T00:00:00Z,https://en.wikipedia.org/wiki/Alexander_von_Humboldt
Q215022,Arthur Eddington,British astrophysicist (1882-1944),+1882-12-28T00:00:00Z,+1944-11-22T00:00:00Z,https://en.wikipedia.org/wiki/Arthur_Eddington
Q7197,Simone de Beauvoir,"French philosopher, social theorist and activist (1908–1986)",+1908-01-09T00:00:00Z,+1986-04-14T00:00:00Z,https://en.wikipedia.org/wiki/Simone_de_Beauvoir
Q43499,Erasmus,"Dutch Renaissance humanist, Catholic priest, and theologian",+1466-10-28T00:00:00Z,+1536-07-12T00:00:00Z,https://en.wikipedia.org/wiki/Erasmus
Q7251,Alan Turing,"(1912-1954) English mathematician, military code breaker during WWII, and groundbreaking theorist of computer science",+1912-06-23T00:00:00Z,+1954-06-07T00:00:00Z,https://en.wikipedia.org/wiki/Alan_Turing
Q37388,Francis Bacon,English philosopher and statesman (1561–1626),+1561-01-22T00:00:00Z,+1626-04-09T00:00:00Z,https://en.wikipedia.org/wiki/Francis_Bacon
Q788572,Max Eastman,American writer (1883-1969),+1883-01-04T00:00:00Z,+1969-03-25T00:00:00Z,https://en.wikipedia.org/wiki/Max_Eastman
Q183372,Alfred North Whitehead,English mathematician and philosopher (1861–1947),+1861-02-15T00:00:00Z,+1947-12-30T00:00:00Z,https://en.wikipedia.org/wiki/Alfred_North_Whitehead
Q156268,Pierre Bourdieu,"French sociologist, anthropologist, and philosopher (1930–2002)",+1930-08-01T00:00:00Z,+2002-01-23T00:00:00Z,https://en.wikipedia.org/wiki/Pierre_Bourdieu
Q50020,John Stuart Mill,British philosopher and political economist (1806–1873),+1806-05-20T00:00:00Z,+1873-05-08T00:00:00Z,https://en.wikipedia.org/wiki/John_Stuart_Mill
Q8018,Augustine of Hippo,"Catholic theologian, philosopher, and saint (354–430)",+0354-11-13T00:00:00Z,+0430-08-28T00:00:00Z,https://en.wikipedia.org/wiki/Augustine_of_Hippo
Q314394,Jyotirao Phule,Indian social reformer (1827-1890),+1827-04-11T00:00:00Z,+1890-11-28T00:00:00Z,https://en.wikipedia.org/wiki/Jyotirao_Phule
Q438839,Aleksandr Dugin,Russian political activist and philosopher (born 1962),+1962-01-07T00:00:00Z,,https://en.wikipedia.org/wiki/Aleksandr_Dugin
Q188569,William Godwin,"English journalist, political philosopher and novelist",+1756-03-03T00:00:00Z,+1836-04-07T00:00:00Z,https://en.wikipedia.org/wiki/William_Godwin
Q215258,Richard Rorty,American philosopher,+1931-10-04T00:00:00Z,+2007-06-08T00:00:00Z,https://en.wikipedia.org/wiki/Richard_Rorty
Q44258,Basil of Caesarea,4th-century Christian bishop and saint,+0329-01-01T00:00:00Z,+0379-00-00T00:00:00Z,https://en.wikipedia.org/wiki/Basil_of_Caesarea
Q127398,Moshe ben Maimon,Medieval Jewish philosopher from Spain (1135–1204),+1138-03-30T00:00:00Z,+1204-12-13T00:00:00Z,https://en.wikipedia.org/wiki/Maimonides
Q16192619,Selmer Bringsjord,American computer scientist,+1958-11-24T00:00:00Z,,https://en.wikipedia.org/wiki/Selmer_Bringsjord
Q15448970,Walter Jaeschke,philosopher and Hegel scholar,+1945-09-20T00:00:00Z,+2022-07-14T00:00:00Z,https://en.wikipedia.org/wiki/Walter_Jaeschke
Q130631,Jacques Derrida,Algerian-French philosopher,+1930-07-15T00:00:00Z,+2004-10-08T00:00:00Z,https://en.wikipedia.org/wiki/Jacques_Derrida
Q1514998,Gershom Carmichael,Scottish philosopher,+1672-01-01T00:00:00Z,+1729-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Gershom_Carmichael
Q163087,Michael Polanyi,Hungarian-British polymath,+1891-03-11T00:00:00Z,+1976-02-22T00:00:00Z,https://en.wikipedia.org/wiki/Michael_Polanyi
Q311826,Muhammad Abduh,"Egyptian Islamic jurist, religious scholar and liberal reformer (1849-1905)",+1849-01-01T00:00:00Z,+1905-07-11T00:00:00Z,https://en.wikipedia.org/wiki/Muhammad_Abduh
Q41513,William Blake,English poet and artist (1757–1827),+1757-11-28T00:00:00Z,+1827-08-12T00:00:00Z,https://en.wikipedia.org/wiki/William_Blake
Q73527,Arcesilaus,3rd-century BC Greek Hellenistic philosopher,-0315-01-01T00:00:00Z,-0240-01-01T00:00:00Z,https://en.wikipedia.org/wiki/Arcesilaus
Q9317,John Maynard Keynes,English economist (1883–1946),+1883-06-05T00:00:00Z,+1946-04-21T00:00:00Z,https://en.wikipedia.org/wiki/John_Maynard_Keynes
Q126462,Thomas Paine,"American Founding Father, philosopher, and political activist (1737–1809)",+1737-02-09T00:00:00Z,+1809-06-08T00:00:00Z,https://en.wikipedia.org/wiki/Thomas_Paine
Q122972,Louis Agassiz,Swiss-American naturalist (1807–1873),+1807-05-28T00:00:00Z,+1873-12-14T00:00:00Z,https://en.wikipedia.org/wiki/Louis_Agassiz
Q184500,Johannes Scotus Eriugena,Irish Catholic philosopher and theologian (c. 800 – c. 877),+0810-00-00T00:00:00Z,+0877-01-01T00:00:00Z,https://en.wikipedia.org/wiki/John_Scotus_Eriugena
